name,price,bairro
Terreno Lote Urbano,"500.000,00",Bairro: Jardim Santa Maria
Terreno Lote Urbano,"92.500,00",Bairro: Centro
Terreno Lote Urbano,"370.000,00",Bairro: Vila Industrial
Casa Padrão,"800.000,00",Bairro: Jardim Gisela
Casa Padrão,"1.890.000,00",Bairro: Jardim Pancera
Apartamento Padrão,"190.000,00",Bairro: Jardim São Francisco
Casa Padrão,"350.000,00",Bairro: Jardim Coopagro
Terreno Lote Urbano,"320.000,00",Bairro: Jardim Pancera
Casa Padrão,"600.000,00",Bairro: Jardim Pancera
Casa Padrão,"600.000,00",Bairro: Jardim Pancera
Terreno Lote Urbano,"150.000,00",Bairro: Pinheirinho
Terreno Lote Urbano,"507.500,00",Bairro: Jardim Coopagro
Casa Padrão,"2.350.000,00",Bairro: Jardim La Salle
Rural Chácara com Casa,"550.000,00",Bairro: Concórdia do Oeste
Comercial Edificio Co...,"
															50.000,00														",Bairro: Centro
Casa Padrão,"250.000,00",Bairro: Centro
Terreno Lote Urbano,"1.650.000,00",Bairro: Jardim Tocantins
Terreno Lote Urbano,"1.750.000,00",Bairro: Jardim Tocantins
Casa Padrão,"525.000,00",Bairro: Jardim Tocantins
Terreno Lote Urbano,"225.000,00",Bairro: Jardim Europa/America
Apartamento Padrão,"350.000,00",Bairro: Jardim Coopagro
Terreno Lote Urbano,"270.000,00",Bairro: Jardim Concórdia
Apartamento Padrão,"385.000,00",Bairro: Jardim Gisela
Rural Chácara com Casa,"3.500.000,00",Bairro: Perola Independente (Distrito de Maripa)
Casa Padrão,"295.000,00",Bairro: Jardim Coopagro
Casa Padrão,"295.000,00",Bairro: Jardim Coopagro
Rural Chácara com Casa,"2.500.000,00",Bairro: Centro
Apartamento Padrão,"230.000,00",Bairro: Jardim Santa Maria
Casa Padrão,"625.000,00",Bairro: Jardim Pancera
Casa Padrão,"625.000,00",Bairro: Jardim Pancera
Casa Sobrado,"480.000,00",Bairro: Porto Mendes
Casa Padrão,"300.000,00",Bairro: Jardim Coopagro
Apartamento Padrão,"250.000,00",Bairro: Jardim São Francisco
Casa Sobrado,"1.500.000,00",Bairro: Porto Mendes
Apartamento Padrão,"170.000,00",Bairro: Jardim São Francisco
Casa Padrão,"1.100.000,00",Bairro: Jardim Porto Alegre
Casa Padrão,"780.000,00",Bairro: Jardim Pancera
Casa Sobrado,"1.500.000,00",Bairro: Jardim Pancera
Apartamento Padrão,"310.000,00",Bairro: Centro
Casa Sobrado,"880.000,00",Bairro: Jardim Concórdia
Casa Sobrado,"855.000,00",Bairro: Vila Industrial
Casa Sobrado,"855.000,00",Bairro: Vila Industrial
Terreno Lote Urbano,"150.000,00",Bairro: Jardim Europa/America
Terreno Lote Urbano,"150.000,00",Bairro: Jardim Europa/America
Terreno Lote Urbano,"130.000,00",Bairro: Jardim Europa/America
Terreno Lote Urbano,"130.000,00",Bairro: Jardim Europa/America
Terreno Lote Urbano,"130.000,00",Bairro: Jardim Europa/America
Terreno Lote Urbano,"130.000,00",Bairro: Jardim Europa/America
Terreno Lote Urbano,"130.000,00",Bairro: Jardim Europa/America
Casa Padrão,"235.000,00",Bairro: Jardim Coopagro
Terreno Lote Urbano,"546.000,00",Bairro: BIOPARK
Terreno Lote Urbano,"440.000,00",Bairro: Vila Industrial
Terreno Lote Urbano,"550.000,00",Bairro: Jardim Gisela
Comercial Barracão,"7.600.000,00",Bairro: Albino Nicolau Schmidt
Apartamento Padrão,"675.000,00",Bairro: Vila Industrial
Casa Padrão,"285.000,00",Bairro: Jardim Panorama
Terreno Lote Urbano,"500.000,00",Bairro: Vila Industrial
Casa Padrão,"999.000,00",Bairro: Sede Alvorada (Distrito de Cascavel)
Casa Padrão,"2.800.000,00",Bairro: Centro
Casa Padrão,"550.000,00",Bairro: Jardim Concórdia
Casa Padrão,"270.000,00",Bairro: Jardim Bressan
Apartamento Padrão,"1.000.000,00",Bairro: Centro
Comercial Sala Comerc...,"
															2.500,00														",Bairro: Centro
Casa Padrão,"200.000,00",Bairro: Jardim São Francisco
Casa Sobrado,"900.000,00",Bairro: Jardim Coopagro
Casa Padrão,"1.450.000,00",Bairro: Vila Industrial
Terreno Lote Urbano,"150.000,00",Bairro: Vila Ipiranga (Distrito de Toledo)
